,#,Company,Symbol,Weight,Price,Chg,% Chg
172,173,Synopsys Inc.,SNPS,0.116183,284.74,-0.34,(-0.12%)
173,174,MetLife Inc.,MET,0.115876,57.97,0.34,(0.59%)
174,175,Ross Stores Inc.,ROST,0.115876,122.10,0.42,(0.35%)
175,176,IHS Markit Ltd.,INFO,0.115124,113.92,-1.52,(-1.32%)
176,177,Centene Corporation,CNC,0.11428,72.58,-0.88,(-1.20%)
177,178,American Electric Power Company Inc.,AEP,0.114213,87.20,1.22,(1.42%)
178,179,Amphenol Corporation Class A,APH,0.11379,70.96,-0.05,(-0.06%)
179,180,Aptiv PLC,APTV,0.113677,159.17,1.78,(1.13%)
180,181,Carrier Global Corp.,CARR,0.113436,51.38,-0.52,(-1.00%)
181,182,EOG Resources Inc.,EOG,0.113191,74.04,1.53,(2.11%)
182,183,Electronic Arts Inc.,EA,0.111555,145.55,0.56,(0.38%)
183,184,Sempra Energy,SRE,0.11027,130.51,-0.21,(-0.16%)
184,185,Baxter International Inc.,BAX,0.109623,80.75,-0.39,(-0.48%)
185,186,American International Group Inc.,AIG,0.109435,47.55,0.24,(0.51%)
186,187,Simon Property Group Inc.,SPG,0.109096,126.66,2.51,(2.02%)
187,188,Cadence Design Systems Inc.,CDNS,0.1087,145.52,-0.15,(-0.10%)
188,189,Bank of New York Mellon Corporation,BK,0.107837,50.26,0.29,(0.58%)
189,190,DuPont de Nemours Inc.,DD,0.10688,74.49,0.27,(0.36%)
190,191,Schlumberger NV,SLB,0.106242,29.44,1.03,(3.61%)
191,192,Parker-Hannifin Corporation,PH,0.105886,308.98,2.30,(0.75%)
192,193,Prudential Financial Inc.,PRU,0.105653,100.61,1.11,(1.12%)
193,194,Allstate Corporation,ALL,0.105101,130.37,0.63,(0.49%)
194,195,PPG Industries Inc.,PPG,0.103265,164.79,1.87,(1.14%)
195,196,Constellation Brands Inc. Class A,STZ,0.102151,225.30,0.72,(0.32%)
196,197,Microchip Technology Incorporated,MCHP,0.101953,139.88,0.66,(0.47%)
197,198,ResMed Inc.,RMD,0.101111,259.08,-0.75,(-0.29%)
198,199,Discover Financial Services,DFS,0.100921,124.43,1.42,(1.15%)
199,200,Motorola Solutions Inc.,MSI,0.100243,222.47,0.77,(0.35%)
200,201,Fortinet Inc.,FTNT,0.099861,273.12,-2.59,(-0.94%)
201,202,Travelers Companies Inc.,TRV,0.099758,148.83,0.96,(0.65%)
202,203,Sysco Corporation,SYY,0.099487,73.27,0.40,(0.54%)
203,204,Marriott International Inc. Class A,MAR,0.09904,142.12,2.94,(2.11%)
204,205,International Flavors & Fragrances Inc.,IFF,0.098693,148.80,0.47,(0.32%)
205,206,SBA Communications Corp. Class A,SBAC,0.098552,336.84,-0.20,(-0.06%)
206,207,Yum! Brands Inc.,YUM,0.098552,123.47,0.68,(0.55%)
207,208,Xcel Energy Inc.,XEL,0.09837,68.08,-0.19,(-0.28%)
208,209,Cognizant Technology Solutions Corporation Class A,CTSH,0.098344,69.57,0.28,(0.40%)
209,210,Welltower Inc.,WELL,0.097979,87.40,-0.36,(-0.41%)
210,211,General Mills Inc.,GIS,0.097146,59.38,-0.03,(-0.04%)
211,212,Otis Worldwide Corporation,OTIS,0.09652,89.13,0.61,(0.69%)
212,213,Paychex Inc.,PAYX,0.096367,112.64,0.39,(0.35%)
213,214,Monster Beverage Corporation,MNST,0.095224,96.16,-0.13,(-0.14%)
214,215,TransDigm Group Incorporated,TDG,0.094733,649.32,1.68,(0.26%)
215,216,AutoZone Inc.,AZO,0.094494,"1,624.18",-7.95,(-0.49%)
216,217,Cummins Inc.,CMI,0.093993,236.82,-0.62,(-0.26%)
217,218,Cintas Corporation,CTAS,0.093295,388.07,-7.27,(-1.84%)
218,219,Hilton Worldwide Holdings Inc,HLT,0.093016,126.94,1.68,(1.34%)
219,220,Rockwell Automation Inc.,ROK,0.09297,297.75,-1.50,(-0.50%)
220,221,Mettler-Toledo International Inc.,MTD,0.092474,"1,474.07",-3.07,(-0.21%)
221,222,First Republic Bank,FRC,0.092176,195.84,-1.09,(-0.55%)
222,223,Aflac Incorporated,AFL,0.091411,53.68,0.31,(0.58%)
223,224,Marathon Petroleum Corporation,MPC,0.09113,54.38,0.95,(1.78%)
224,225,HP Inc.,HPQ,0.090694,28.50,0.30,(1.05%)
225,226,Xilinx Inc.,XLNX,0.090626,135.63,-2.23,(-1.62%)
226,227,Kinder Morgan Inc Class P,KMI,0.090458,17.81,0.44,(2.50%)
227,228,Walgreens Boots Alliance Inc,WBA,0.08926,47.19,0.66,(1.41%)
228,229,Zimmer Biomet Holdings Inc.,ZBH,0.088943,159.45,-0.52,(-0.33%)
229,230,Pioneer Natural Resources Company,PXD,0.088082,144.35,2.40,(1.69%)
230,231,Stanley Black & Decker Inc.,SWK,0.087858,205.75,1.56,(0.76%)
231,232,Archer-Daniels-Midland Company,ADM,0.08665,58.66,0.65,(1.11%)
232,233,McKesson Corporation,MCK,0.086169,201.99,-0.64,(-0.32%)
233,234,AMETEK Inc.,AME,0.085003,137.44,-0.39,(-0.28%)
234,235,Skyworks Solutions Inc.,SWKS,0.084974,192.91,0.25,(0.13%)
235,236,Corning Inc,GLW,0.084699,41.25,0.03,(0.07%)
236,237,AvalonBay Communities Inc.,AVB,0.084642,226.00,-0.80,(-0.35%)
237,238,ANSYS Inc.,ANSS,0.084483,363.46,-1.95,(-0.53%)
238,239,Phillips 66,PSX,0.084322,73.94,1.77,(2.45%)
239,240,Fastenal Company,FAST,0.083942,54.39,-0.25,(-0.46%)
240,241,Corteva Inc,CTVA,0.083845,42.23,0.10,(0.23%)
241,242,SVB Financial Group,SIVB,0.082956,564.99,-5.88,(-1.03%)
242,243,D.R. Horton Inc.,DHI,0.082814,92.61,-0.94,(-1.00%)
